"can_id","group","priority","name","seg_one_field","seg_one_type","seg_one_unit","seg_two_field","seg_two_type","seg_two_unit","status","note"
"0x040","BMS(HV) BOT","PRIMARY","Global_Fault","Global_Fault","u32","","BattStat","u16","","확정","확인 필요: 3개 이상 필드"
"0x041","BMS(HV) BOT","PRIMARY","Stack_Voltage","Stack_Voltage","u32","mV","Pack_Voltage","u32","mV","확정",""
"0x042","BMS(HV) BOT","PRIMARY","Pack_Current","Pack_Current","i16","","MaxCell_Voltage","u16","mV","확정","확인 필요: 3개 이상 필드"
"0x043","BMS(HV) BOT","PRIMARY","SOC_Permille","SOC_Permille","u16","0.1%","","","","확정",""
"0x04C","BMS(HV) BOT","DETAIL(온도)","CellTemp","CellTemp","TS1","TS1","CFETOFFTemp","i16","i16×4","확정",""
"0x04D","BMS(HV) BOT","DETAIL(온도)","AvgCellTemp","AvgCellTemp","i16","i16×4","","","","확정",""
"0x04E","BMS(HV) BOT","DETAIL(쿨롱)","AccumChargeInt","AccumChargeInt","i32","","AccumChargeFrac","u32","","확정",""
"0x04F","BMS(HV) BOT","DETAIL(쿨롱)","AccumChargeTime","AccumChargeTime","u32","","CC2Counts","i32","","확정",""
"0x050","BMS(HV) BOT","DETAIL(쿨롱)","CC3Counts","CC3Counts","i32","","BattVoltageSum","u16","","확정",""
"0x048","BMS(HV) BOT","DETAIL(셀전압)","Cell[0..15] 전압","Cell[0..15] 전압","u16","u16×4/frame","","","","확정",""
"0x049","BMS(HV) BOT","DETAIL(셀전압)","Cell[0..15] 전압","Cell[0..15] 전압","u16","u16×4/frame","","","","확정",""
"0x04A","BMS(HV) BOT","DETAIL(셀전압)","Cell[0..15] 전압","Cell[0..15] 전압","u16","u16×4/frame","","","","확정",""
"0x04B","BMS(HV) BOT","DETAIL(셀전압)","Cell[0..15] 전압","Cell[0..15] 전압","u16","u16×4/frame","","","","확정",""
"0x05D","BMS(HV) BOT","SD_ONLY(CUV)","CUV","CUV","저전압","저전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
"0x05E","BMS(HV) BOT","SD_ONLY(CUV)","CUV","CUV","저전압","저전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
"0x05F","BMS(HV) BOT","SD_ONLY(CUV)","CUV","CUV","저전압","저전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
"0x060","BMS(HV) BOT","SD_ONLY(CUV)","CUV","CUV","저전압","저전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
"0x061","BMS(HV) BOT","SD_ONLY(COV)","COV","COV","과전압","과전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
"0x062","BMS(HV) BOT","SD_ONLY(COV)","COV","COV","과전압","과전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
"0x063","BMS(HV) BOT","SD_ONLY(COV)","COV","COV","과전압","과전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
"0x064","BMS(HV) BOT","SD_ONLY(COV)","COV","COV","과전압","과전압","스냅샷[0..15]","u16","u16×4/frame","확정",""
